05001,GRANA PADANO PDO WHOLE WHEEL,45,,,,slow mover but keep some in stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269500501,ETA 8/25,sixty,,,"1,539.74",Jul-27,,
05007,GRANA PADANO PDO 1/8 WHEEL,1784,,,,,,20228,CACIOTTA HERBS 6 LBS,1282618,03/23/2026,10,,,64.36,02/19/2027,,
05012,GRANA PADANO PDO HOR. CUT,30,,,,Selected,,20228,CACIOTTA HERBS 6 LBS,1290743,04/24/2026,60,,,379.76,03/22/2027,,
05018,GRANA PADANO 1/8 MIN 16 MESI,0,,,,not interesting for the stock 2024,,20229,"CACIOTTA HERBS 1,2 LBS",1308180,07/03/2026,27,,,230.91,02/03/2027,,
05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,147,,,,always have at least 1/2 pallet (check with Stefano),,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1312806,07/23/2026,144,72,72x HEB 57X331093,760.32,02/24/2027,,
05033,PARMIGIANO REGGIANO PDO WHOLE WHEEL 24 MESI,0,,,,not interesting for the stock,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1312807,07/23/2026,144,144,HEB 57X340372,760.32,02/24/2027,,
05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL 18mo,25,,,,,,20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,1282629,03/23/2026,68,,,359.04,10/22/2026,,
05091,GRANA PADANO 7OZ,0,,,,we don't have project right now,,20438,PROVOLONE CYLINDER CHEESE,1206510,06/13/2025,38,38,exp,572.64,01/15/2026,,
05093,GRANA PADANO WW 16 MESI,0,,,,,,20438,PROVOLONE CYLINDER CHEESE,1206511,06/13/2025,72,72,exp,"1,086.98",01/15/2026,,
05095,TRENTIN GRANA PDO CHEESE,0,,,,"no need to reorder it until September 2026, ask Stefano",,20438,PROVOLONE CYLINDER CHEESE,1316555,08/06/2026,72,72,Veroni 19-26C,"1,058.06",03/12/2027,,
05600,PARMIGIANO 7OZ,0,,,,we don't have project right now,,20438,PROVOLONE CYLINDER CHEESE,160726205,ETA 8/25,seventy-two,72,Veroni 19-26C,"1,074.74",Mar-27,,
05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,35,,,,"Greg 12x monthly plan and ACE, we monitor, next",,20438,PROVOLONE CYLINDER CHEESE,160726205,ETA 8/25,seventy-two,72,Veroni 19-26C,"1,059.07",Mar-27,,
05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,19,,,,ACE Endico pre order?,,20438,PROVOLONE CYLINDER CHEESE,160726205,ETA 8/25,seventy-two,72,Veroni 22-26C (plus 144),"1,062.10",Mar-27,,
05422,GRANA PADANO AGED 20 MESI,0,,,,not interesting for the stock,,20450,BRA TENERO PDO CHEESE,1316582,08/06/2026,6,,Spec Merch of FL,94.97,01/11/2027,,
10390000,BONELESS ITALIAN DRY CURED HAM BLOCK,0,,,,not interesting for the stock,,20453,RASCHERA PDO CHEESE,1316580,08/06/2026,6,,Spec Merch of FL,108.34,01/11/2027,,
20141,CACIOTTA RED CHILI PEPPER 6 LBS,0,,,,not interesting for the stock,,20464,ALTA BADIA CHEESE WHOLE WHEEL,1312797,07/23/2026,20,,,429.83,02/13/2027,,
20142,CACIOTTA BLACK PEPPER 6 LBS,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,23,,,121.44,09/08/2026,,
,,,,,,,,20480,CACIOTTA MNT HERBS 7 OZ EW,,,onehundredand fortyfour,144,HEB 57X331093,,,AIR FREIGHT,
20144,CACIOTTA RED CHILI PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,269500522,ETA 8/25,onehundredand twentyseven,127,HEB 57X340372,670.56,Mar-27,,
20150,CACIOTTA BLACK TRUFFLES 6 LBS,150,,,,average purchase TONY 55 per month,,20481,CACIOTTA PEPATO 7 OZ EW,1296188,05/15/2026,12,,,63.36,12/16/2026,,
20161,CACIOTTA BLACK PEPPER 1.2 LBS,0,,,,not interesting for the stock,,20511,FONTAL CHEESE 1/4 WHEEL,1290765,04/24/2026,195,,Lettieri,"1,193.08",11/22/2026,,
20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,63,,,,"15x Greg monthly plan, we monitor",,20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,1304255,06/18/2026,42,,,128.169,07/15/2027,,
20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,-300,,,,TJ preorder,,20520,TALEGGIO CHEESE PDO WHOLE WHEEL,1312778,07/23/2026,28,,,127.738,07/02/2027,,
20228,CACIOTTA HERBS 6 LBS,70,,,,not interesting for the stock,,20533,AGED TRUFFLE CHEESE BLACK,1296197,05/15/2026,58,28,Baldor 101-0001462105,271.726,12/16/2026,,
20229,CACIOTTA HERBS 1.2 LBS,27,,,,10-15x monthly plan Cowbell,,20533,AGED TRUFFLE CHEESE BLACK,1316590,08/06/2026,120,,,609.14,03/12/2027,,
20282,CACIOTTA HERBS 6 LBS (4X),0,,,,TJ preorder,,20569,BIANCO D'ITALIA 1/4 WHEEL,1285661,04/03/2026,84,,Cowbell monthly plan Sept,1609.322,03/09/2027,,
20313,CHEESE FIORETTO AGED WHOLE WHEEL,0,,,,not interesting for the stock,,20584,STELVIO PDO CHEESE WHOLE WHEEL,1312762,07/23/2026,9,,,195.79,02/13/2027,,
20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,72,,,,HEB 1 pallet + something small for Lettieri,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1304242,06/18/2026,24,,Ace Endico?,305.29,05/07/2027,,
20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,68,,,,we don't have project right now,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1312770,07/23/2026,30,,,391.58,06/17/2027,,
20438,PROVOLONE CYLINDER CHEESE,-216,,,,"1 pallet available for Stock, Veroni preorder",,40020,MONTASIO CHEESE WHOLE WHEEL,627138157,ETA 8/25,sixty,,,768.52,Jul-27,,
20450,BRA TENERO SOFT,6,,,,Specialty Merchants ,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285662,04/03/2026,7,,,392.66,03/06/2027,,1
20451,BRA DURO/HARD,0,,,,not interesting for the stock,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266069,01/16/2026,10,,,595.19,10/09/2026,,
20452,TOMA,0,,,,not interesting for the stock,,40104,PECORINO ROMANO PDO 1/4 WHEEL,1266067,01/16/2026,36,,,"2,132.76",10/10/2026,,
20453,RASCHERA PIEMONTESE DOP,6,,,,Specialty Merchants ,,40105,PECORINO GRANGLONA CHEESE,1296184,05/15/2026,22,,,673.581,04/10/2027,,
20464,ALTA BADIA,20,,,,"few quantities is fine, do we have <20? Specialty Merchants/CowBell/DiPalo",,40109,PIAVE VECCHIO PDO > 6 MONTHS,1255287,12/05/2025,9,,,123.136,11/08/2026,,
20480,CACIOTTA MNT HERBS 7 OZ EW,-248,,,,,,40130,MONTASIO CHEESE PDO 1/4 WHEEL,1308186,07/03/2026,18,,,246.594,02/04/2027,,
20481,CACIOTTA PEPATO 7 OZ EW,12,,,,,,40158,PIAVE VECCHIO PDO >12 MONTHS,1312794,07/23/2026,24,,,299.33,06/21/2027,,
20511,FONTAL 1/4 WHEEL,195,,,,Lettieri,,40158,PIAVE VECCHIO PDO >12 MONTHS,630157210,ETA 8/25,thirty,,,387.02,Jul-27,,
20519,GORGONZOLA DOLCE PDO 1/8 WHEEL,42,,,,<15?,,40174,PECORINO TOSCANO PDO WW,1304225,06/18/2026,71,,Selected,578.845,02/04/2027,,
20520,TALEGGIO CHEESE PDO WHOLE WHEEL,28,,,,<10? Cheese importers wants stock consistent? (45),,40174,PECORINO TOSCANO PDO WW,1312779,7/23/2026,80,,Selected,752.74,02/17/2027,,
20533,AGED TRUFFLE CHEESE BLACK,150,,,,News about production? Baldor,,40174,PECORINO TOSCANO PDO WW,TF205175,ETA 8/25,eighty,,,780.06,Mar-27,,
20569,BIANCO D'ITALIA 1/4 WHEEL,84,,,,Cowbell,,01032,SHARP PROVOLONE,1308182,07/03/2026,19,,,229.884,02/04/2027,,
20584,STELVIO PDO CHEESE WHOLE WHEEL,9,,,,<30?,,01034,SMOKED PROVOLONE 4.4 LBS,"140726208, 150726209",ETA 8/25,seventytwo,72,SK PO0282170,"1,418.17",Dec-26,,
20586,LAGREIN,0,,,,not interesting for the stock,,01034,SMOKED PROVOLONE 4.4 LBS,160726209,ETA 8/25,seventytwo,72,SK PO0282170,"1,408.38",Dec-26,,
20700,PECORINO WW 14oz,0,,,,not interesting for the stock,,01034,SMOKED PROVOLONE 4.4 LBS,"160726209, 220726209",ETA 8/25,seventythree,73,SK PO0282170,"1,434.47",Dec-26,,
20701,PECORINO OLIVE,0,,,,not interesting for the stock,,01186,SMOKED PROVOLONE CYLINDER,1316556,08/06/2026,71,,,1016.286,03/12/2027,,
20702,PECORINO CURRY,0,,,,not interesting for the stock,,01299,MILD PROVOLONE STICK,269500516,ETA 8/25,seventytwo,72,Veroni 2000068809,"1,081.13",Dec-26,,
20703,PECORINO GHIOTTO,0,,,,not interesting for the stock,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1304220,06/18/2026,14,,,379.226,05/07/2027,,
20717,BIANCO DURO D' EUROPA,0,,,,Selected preorder in Full Container directly to Houston,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,60626157,ETA 8/25,twenty,,,668.89,Jul-27,,
20719,PECORINO ZAFFERANO E PEPE,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1304244,06/18/2026,103,12,Baldor 101-0001462105,733.258,01/09/2027,,
20720,PECORINO PISTACCHIO WW,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1312791,07/23/2026,120,,,827.17,02/20/2027,,
20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,54,,,,keep 25 in stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1316588,08/06/2026,120,,,816.02,03/11/2027,,
30009,ITALIAN CHEESE FLIGHT GREEN,0,,,,not interesting for the stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1308183,07/03/2026,240,,,1701.72,02/03/2027,,
30010,ITALIAN CHEESE FLIGHT YELLOW,0,,,,not interesting for the stock,,02091,ASIAGO FRESCO PDO 7 OZ EW,1316584,08/06/2026,24,,Lettieri?,126.72,03/11/2027,,
30011,ITALIAN CHEESE FLIGHT RED,0,,,,not interesting for the stock,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296190,05/15/2026,7,,,207.29,12/16/2026,,
30014,APERICHEESE YELLOW ,0,,,,product ready? NEW,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296191,05/15/2026,24,,,713.88,12/16/2026,,
30015,APERICHEESE RED,0,,,,product ready? NEW,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1304213,06/18/2026,24,,,710.06,01/07/2027,,
30016,APREICHEESE ORANGE,0,,,,product ready? NEW,,03003,ASIAGO VECCHIO PDO WHOLE WHEEL,1290749,04/24/2026,20,,,381.17,03/22/2027,,
30017,APERICHEESE WHITE,0,,,,product ready? NEW,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1304212,06/18/2026,17,,,84.89,01/09/2027,,
40020,MONTASIO CHEESE WHOLE WHEEL,0,,,,do we have <25?,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1312795,07/23/2026,24,,,114.99,02/20/2027,,
40086,MONTASIO PDO 7OZ,0,,,,"problem with the label for USA, no project in the moment for this ITEM",,03023,ASIAGO AGED WHOLE WHEEL,1268920,01/29/2026,44,,,815.76,08/30/2026,,
40103,PECORINO ROMANO PDO WHOLE WHEEL,7,,,,keep 1-2 pallet in stock,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1300466,06/03/2026,4,,,23.95,10/22/2026,,
40104,PECORINO ROMANO PDO 1/4 WHEEL,46,,,,keep 1-2 pallet in stock,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1290754,04/24/2026,12,,,78.59,11/22/2026,,
40105,PECORINO GRANGLONA CHEESE,22,,,,Selected - waiting for feedback,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1312777,07/23/2026,24,,,144.89,02/24/2027,,
40107,PIAVE MEZZANO PDO WHOLE WHEEL,0,,,,,,04046,VEZZENA CHEESE AGED 1/4 WHEEL,1296206,05/15/2026,19,,,94.928,12/16/2026,,
40109,PIAVE VECCHIO PDO > 6 MONTHS,9,,,,,,04145,LAGORAI CHEESE 1/4 WHEEL,1296205,05/15/2026,23,,,156.045,12/16/2026,,
40130,MONTASIO CHEESE PDO 1/4 WHEEL,18,,,,main Customer Ace Endico,,04154,LAGORAI CHEESE WHOLE WHEEL,1248589,11/12/2025,5,,,150.628,09/13/2026,,
40140,RICOTTA SALATA SAPORITA,0,,,,not interesting for the stock,,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),1316550,08/06/2026,144,144,HEB 57X331093,760.32,03/10/2027,,
40158,PIAVE VECCHIO PDO > 12 MONTHS,24,,,,"Ace Endico, 30 in stock? ",,04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),1316549,08/06/2026,144,72,HEB 57X340372,760.32,03/11/2027,,
40163,RICOTTA SALATA 7OZ,0,,,,we don't have project right now,,04181,VEZZENA CHEESE AGED WHOLE WHEEL,1296208,05/15/2026,15,,,304.849,04/15/2027,,
40167,PECORINO ROMANO 5.3 OZ,0,,,,,,04211,ALPEGGIO CHEESE 7 OZ EW,1316566,08/06/2026,24,,Lettieri,126.72,03/11/2027,,
40169,RICOTTA SALATA V.P.,0,,,,Main customer DeKalb,,05001,GRANA PADANO PDO WHOLE WHEEL,1304221,06/18/2026,15,,,1218.49,05/07/2027,,
40174,PECORINO TOSCANO PDO WW,151,,,,Selected ,,05001,GRANA PADANO PDO WHOLE WHEEL,1312775,07/23/2026,30,,,2484.17,06/18/2027,,
40175,PECORINO TOSCANO PDO WW AGED,0,,,,Selected ,,05007,GRANA PADANO PDO 1/8 WHEEL,1308161,07/03/2026,104,,,2175.31,01/30/2027,,
0001,CHRISTMAS GIFT BOX ,0,,,,"only for Christmas (boxes to add to the orders in November, or to send per FedEx)",,05007,GRANA PADANO PDO 1/8 WHEEL,1308163,07/03/2026,104,,,2226.75,01/30/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308164,07/03/2026,104,,,2234.66,01/30/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308176,07/03/2026,104,,,2224.38,01/30/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308162,07/03/2026,104,,,2149.43,01/31/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1308167,07/03/2026,104,,,2182.45,01/31/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312765,07/23/2026,104,,,2240.29,02/20/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312771,07/23/2026,104,,,2252.32,02/20/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316559,08/06/2026,104,,,2182.04,03/06/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316569,08/06/2026,104,,,2230.52,03/06/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316570,08/06/2026,104,,,2184.26,03/06/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316572,08/06/2026,104,,,2193.57,03/06/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1316573,08/06/2026,104,,,2181.06,03/06/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312767,07/23/2026,108,,not gordon,2354.29,02/20/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312773,07/23/2026,108,,not gordon,2331.87,02/20/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312786,07/23/2026,108,,not gordon,2328.7,02/20/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,1312792,07/23/2026,108,,not gordon,2345.59,02/20/2027,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269500508,ETA 8/25,oneofour,,,"2,259.24",Mar-27,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269500505,ETA 8/25,oneofour,,,"2,220.76",Mar-27,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269500506,ETA 8/25,oneofour,,,"2,256.08",Mar-27,,
,,,,,,,,05007,GRANA PADANO PDO 1/8 WHEEL,269500507,ETA 8/25,oneofour,,,"2,258.60",Mar-27,,
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296216,05/15/2026,14,,,589.83,12/16/2026,,
,,,,,,,,05012,GRANA PADANO PDO HOR. CUT,1296217,05/15/2026,16,,Selected,673.23,12/16/2026,,
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1290745,04/24/2026,48,,,1107.112,03/27/2027,,
,,,,,,,,05025,PARMIGIANO REGGIANO PDO 1/8 WHEEL,1312774,07/23/2026,99,,,2187.31,06/18/2027,,
,,,,,,,,05034,PARMIGIANO REGGIANO PDO WHOLE WHEEL,1285651,04/03/2026,25,,,2267.357,03/06/2027,,
,,,,,,,,05095,TRENTIN GRANA PDO CHEESE,629152168,ETA 8/25,twentyfive,,,"2,057.72",Jul-27,,
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1304211,06/18/2026,5,,,411.84,05/07/2027,,
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,1308166,07/03/2026,30,,,2484.11,06/04/2027,,
,,,,,,,,05411,GRANA PADANO PDO RISERVA WHOLE WHEEL,623115168,ETA 8/25,thirty,,,"2,489.73",Jul-27,,
,,,,,,,,05417,GRANA PADANO PDO 1/8 WHEEL 16 MONTHS,1316563,08/06/2026,19,,,388.352,03/12/2027,,
